sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0160,sample,Anthranalate,met,136.04,749,9434,728.31,733.8
MLMET0165,sample,Anthranalate,met,136.04,749,8041,727.97,733.46
MLMET0136,sample,Anthranalate,met,136.04,749,10229,731.01,736.5
MLMET0121,sample,Anthranalate,met,136.04,749,19180,731.29,736.78
MLMET0073,sample,Anthranalate,met,136.04,749,27117,729.6,735.09
MLMET0066,filter,Anthranalate,met,136.04,749,25992,729.51,735
MLMET0161,sample,Anthranalate,met,136.04,749,12775,731.52,737.01
MLMET0166,sample,Anthranalate,met,136.04,749,9011,731.46,736.95
MLMET0140,sample,Anthranalate,met,136.04,749,9131,729.32,734.81
MLMET0178,filter,Anthranalate,met,136.04,749,8495,729.13,734.62
MLMET0167,sample,Anthranalate,met,136.04,749,10164,730.03,735.52
MLMET0184,sample,Anthranalate,met,136.04,749,8122,729.97,735.47
MLMET0093,sample,Anthranalate,met,136.04,749,34293,728.39,733.88
MLMET0117,filter,Anthranalate,met,136.04,749,22783,728.7,734.19
MLMET0074,sample,Anthranalate,met,136.04,749,52971,730.41,735.9
MLMET0116,filter,Anthranalate,met,136.04,749,19141,730.74,736.23
MLMET0141,sample,Anthranalate,met,136.04,749,10959,729.14,734.63
MLMET0118,sample,Anthranalate,met,136.04,749,25148,728.96,734.46
MLMET0139,sample,Anthranalate,met,136.04,749,9529,730.07,735.56
MLMET0168,sample,Anthranalate,met,136.04,749,8917,729.98,735.47
MLMET0123,sample,Anthranalate,ref,144.061,749,24022,728.5,733.99
MLMET0122,sample,Anthranalate,ref,144.061,749,29858,728.51,734
MLMET0068,sample,Anthranalate,ref,144.061,749,64781,730.41,735.91
MLMET0094,sample,Anthranalate,ref,144.061,749,34713,730.74,736.23
MLMET0089,filter,Anthranalate,ref,144.061,749,38438,729.34,734.83
MLMET0125,filter,Anthranalate,ref,144.061,749,22611,728.87,734.36
MLMET0185,sample,Anthranalate,ref,144.061,749,15563,730.75,736.24
MLMET0179,filter,Anthranalate,ref,144.061,749,13750,730.62,736.11
MLMET0187,sample,Anthranalate,ref,144.061,749,15237,729.2,734.69
MLMET0070,sample,Anthranalate,ref,144.061,749,82630,729.09,734.58
MLMET0135,filter,Anthranalate,ref,144.061,749,28027,730.79,736.28
MLMET0186,sample,Anthranalate,ref,144.061,749,20900,730.44,735.94
MLMET0144,filter,Anthranalate,ref,144.061,749,17561,729.09,734.59
MLMET0067,filter,Anthranalate,ref,144.061,749,33055,729.24,734.73
MLMET0069,sample,Anthranalate,ref,144.061,749,64427,732.24,737.73
MLMET0164,sample,Anthranalate,ref,144.061,749,20356,732.29,737.78
MLMET0095,sample,Anthranalate,ref,144.061,749,35569,729.17,734.66
Blank-r001,blank,Anthranalate,ref,144.061,749,12417,729.35,734.84
MLMET0183,sample,Anthranalate,ref,144.061,749,17354,730.68,736.17
MLMET0163,sample,Anthranalate,ref,144.061,749,13943,730.53,736.02
MLMET0181,sample,Anthranalate,ref,144.061,749,14696,728.05,733.54
MLMET0071,sample,Anthranalate,ref,144.061,749,89784,727.97,733.46
RCY308_control-r001,control,Anthranalate,ref,144.061,749,16049,732.13,737.62
